"datetime","demand_fcast","demand","tempsim"
"254",2020-01-11 13:30:00,4.97030126653915,5.177,17.5994523195784
"255",2020-01-11 14:30:00,4.80074672841366,5.099,17.3398284465014
"256",2020-01-11 15:30:00,4.87252001931598,5.132,20.3357107151466
"257",2020-01-11 16:30:00,5.13914322923493,5.35,20.2720913858323
"258",2020-01-11 17:30:00,5.63050240681662,5.737,18.9321505475916
"259",2020-01-11 18:30:00,5.89211369813754,5.883,19.4808557480237
"260",2020-01-11 19:30:00,5.488201296749,5.718,18.165672416607
"261",2020-01-11 20:30:00,5.39622112380217,5.422,17.0486827158109
"262",2020-01-11 21:30:00,5.12339255031931,5.193,17.3963959024905
"263",2020-01-11 22:30:00,5.00357488628396,5.033,15.8926196058475
"264",2020-01-11 23:30:00,4.84194638346764,4.747,14.0994156938076
"265",2020-01-12 00:30:00,4.57637646895365,4.491,13.3087083375262
"266",2020-01-12 01:30:00,4.31273066063653,4.264,15.6851166235437
"267",2020-01-12 02:30:00,4.11433758012931,4.121,15.3509435784874
"268",2020-01-12 03:30:00,3.92795316210535,4.049,16.3535627745817
"269",2020-01-12 04:30:00,3.96451521536973,4.024,17.5085098989233
"270",2020-01-12 05:30:00,3.99344852877544,4.044,20.408045942058
"271",2020-01-12 06:30:00,4.01753881604245,4.176,16.4964346981793
"272",2020-01-12 07:30:00,4.24294658297262,4.406,14.975702880368
"273",2020-01-12 08:30:00,4.7283984399948,4.834,14.7743979559896
"274",2020-01-12 09:30:00,5.21433239333108,5.231,20.4541486541484
"275",2020-01-12 10:30:00,5.34175206100464,5.456,7.68145285211612
"276",2020-01-12 11:30:00,5.39773909492376,5.507,13.1390634486719
"277",2020-01-12 12:30:00,5.30853559344462,5.542,16.2922864954775
"278",2020-01-12 13:30:00,5.17992321687086,5.416,20.8520695983477
"279",2020-01-12 14:30:00,5.00280356682789,5.265,21.2783151428234
"280",2020-01-12 15:30:00,5.03339206838395,5.254,19.7461033493905
"281",2020-01-12 16:30:00,5.25999832205644,5.431,15.0528317856635
"282",2020-01-12 17:30:00,5.79434600854319,5.875,16.2719761092052
"283",2020-01-12 18:30:00,6.04653092034376,6.092,15.1363996963024
"284",2020-01-12 19:30:00,5.69064399458145,5.991,13.9825922388716
"285",2020-01-12 20:30:00,5.63544097835446,5.741,15.5104211489336
"286",2020-01-12 21:30:00,5.34945622227489,5.451,14.21596381543
"287",2020-01-12 22:30:00,5.11522625310666,5.177,13.5116674238015
"288",2020-01-12 23:30:00,4.84419118264272,4.828,13.2800352762946
"289",2020-01-13 00:30:00,4.56028244554169,4.495,12.8317153901861
